aux_scale_factor,e2e_latency,wsc_slack_ratio,temporal_rda_ratio,lateness_mode,filename,num_cores,file_suffix,confidence,ddl_percentile,rt_percentile
6,0.09,0.75,0.05,,dynamic_e2e_trace,380,,99.9,0.0898182069468749,0.0995400277631031
6,0.09,0.75,0.05,,dynamic_e2e_trace,380,,99.99,0.0898182069468749,0.0998823408253102
6,0.09,0.75,0.05,,dynamic_e2e_trace,400,,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,,dynamic_e2e_trace,400,,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,400,,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,400,,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,400,,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,405,,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,,dynamic_e2e_trace,405,,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,405,,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,405,,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,405,,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,410,,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,,dynamic_e2e_trace,410,,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,410,,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,410,,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,410,,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,415,,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,,dynamic_e2e_trace,415,,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,415,,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,415,,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,415,,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,420,,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,,dynamic_e2e_trace,420,,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,420,,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,420,,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,420,,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,440,,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,,dynamic_e2e_trace,440,,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,440,,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,440,,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,440,,99.99,0.0898182069468749,0.0939595388193749
1,1.0,0.75,0.05,,glb_dyn_e2e_trace,200,var_0.2,90.0,0.0916881704834166,0.0998269381444999
1,1.0,0.75,0.05,,glb_dyn_e2e_trace,200,var_0.2,95.0,0.0966144955441041,0.0999269842102187
1,1.0,0.75,0.05,,glb_dyn_e2e_trace,200,var_0.2,99.0,0.0995092969025979,0.1000657436560437
1,1.0,0.75,0.05,,glb_dyn_e2e_trace,200,var_0.2,99.9,0.0998420798525098,0.1000969645313543
